merk,model,vatting,brandpunt_mm,max_diafragma,jaar_van,jaar_tot,elementen,groepen,min_scherpstel_m,filter_mm,gewicht_g,lamellen,collectie
Pentacon,Pentacon electric 2.8/29mm,M42,29.0,,,,,,,,,,
Pentax,Pentax SMC Takumar 50mm f/1.4,M42,50.0,1.4,,,,,,,,,
Pentax,Super-Multi-Coated Takumar 400mm f/5.6,M42,400.0,5.6,,,,,,,,,
Pentax,Super-Takumar 50mm f/1.4,M42,50.0,1.4,,,,,,,,,
Pentax,Super-Takumar 55mm f/1.8,M42,55.0,1.8,,,,,,,,,
Pentax,Takumar 135mm f/2.5 Bayonet,Pentax K,135.0,2.5,,,,,,,,,
Pentax,smc Pentax 1000mm f/11 Reflex,Pentax K,1000.0,11.0,,,,,,,,,
Pentax,smc Pentax 1000mm f/8,Pentax K,1000.0,8.0,,,,,,,,,
Pentax,smc Pentax 100mm f/4 Bellows,Pentax K,100.0,4.0,,,,,,,,,
Pentax,smc Pentax 100mm f/4 Macro,Pentax K,100.0,4.0,,,,,,,,,
Pentax,smc Pentax 105mm f/2.8,Pentax K,105.0,2.8,,,,,,,,,
Pentax,smc Pentax 120mm f/2.8,Pentax K,120.0,2.8,,,,,,,,,
Pentax,smc Pentax 135mm f/2.5,Pentax K,135.0,2.5,,,,,,,,,
Pentax,smc Pentax 135mm f/3.5,Pentax K,135.0,3.5,,,,,,,,,
Pentax,smc Pentax 150mm f/4,Pentax K,150.0,4.0,,,,,,,,,
Pentax,smc Pentax 15mm f/3.5,Pentax K,15.0,3.5,,,,,,,,,
Pentax,smc Pentax 17mm f/4 Fish-Eye,Pentax K,17.0,4.0,,,,,,,,,
Pentax,smc Pentax 18mm f/3.5,Pentax K,18.0,3.5,,,,,,,,,
Pentax,smc Pentax 2000mm f/13.5 Reflex,Pentax K,2000.0,13.5,,,,,,,,,
Pentax,smc Pentax 200mm f/2.5,Pentax K,200.0,2.5,,,,,,,,,
Pentax,smc Pentax 200mm f/4,Pentax K,200.0,4.0,1975,1977,5,5,2.0,58,535,6,owned
Pentax,smc Pentax 20mm f/1.4,Pentax K,20.0,1.4,,,,,,,,,
Pentax,smc Pentax 20mm f/4,Pentax K,20.0,4.0,,,,,,,,,
Pentax,smc Pentax 24mm f/2.8,Pentax K,24.0,2.8,,,,,,,,,
Pentax,smc Pentax 24mm f/3.5,Pentax K,24.0,3.5,,,,,,,,,
Pentax,smc Pentax 28mm f/2,Pentax K,28.0,2.0,,,,,,,,,
Pentax,smc Pentax 28mm f/3.5,Pentax K,28.0,3.5,,,,,,,,,
Pentax,smc Pentax 28mm f/3.5 Shift,Pentax K,28.0,3.5,,,,,,,,,
Pentax,smc Pentax 300mm f/4,Pentax K,300.0,4.0,,,,,,,,,
Pentax,smc Pentax 35mm f/2,Pentax K,35.0,2.0,,,,,,,,,
Pentax,smc Pentax 35mm f/3.5,Pentax K,35.0,3.5,,,,,,,,,
Pentax,smc Pentax 400mm f/5.6,Pentax K,400.0,5.6,,,,,,,,,
Pentax,smc Pentax 500mm f/4.5,Pentax K,500.0,4.5,,,,,,,,,
Pentax,smc Pentax 50mm f/1.4,Pentax K,50.0,1.4,,,,,,,,,
Pentax,smc Pentax 55mm f/1.8,Pentax K,55.0,1.8,,,,,,,,,
Pentax,smc Pentax 55mm f/2,Pentax K,55.0,2.0,,,,,,,,,
Pentax,smc Pentax 85mm f/1.8,Pentax K,85.0,1.8,,,,,,,,,
Pentax,smc Pentax 85mm f/2.2 Soft,Pentax K,85.0,2.2,,,,,,,,,
Pentax,smc Pentax K 30mm f/2.8,Pentax K,30.0,2.8,,,,,,,,,
Pentax,smc Pentax Takumar 135mm f/2.5 (V2/43812),M42,135.0,2.5,,,,,,,,,
Pentax,smc Pentax-A 100mm f/2.8,Pentax KA,100.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 100mm f/2.8 Macro,Pentax KA,100.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 100mm f/4 Macro,Pentax KA,100.0,4.0,,,,,,,,,
Pentax,smc Pentax-A 135mm f/2.8,Pentax KA,135.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 15mm f/3.5,Pentax KA,15.0,3.5,,,,,,,,,
Pentax,smc Pentax-A 16mm f/2.8 Fish-Eye,Pentax KA,16.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 200mm f/4,Pentax KA,200.0,4.0,,,,,,,,,
Pentax,smc Pentax-A 20mm f/2.8,Pentax KA,20.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 24mm f/2.8,Pentax KA,24.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 28mm 1:2.8,Pentax KA,28.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 28mm f/2,Pentax KA,28.0,2.0,,,,,,,,,
Pentax,smc Pentax-A 35mm f/2,Pentax KA,35.0,2.0,,,,,,,,,
Pentax,smc Pentax-A 35mm f/2.8,Pentax KA,35.0,2.8,,,,,,,,,
Pentax,smc Pentax-A 400mm f/5.6,Pentax KA,400.0,5.6,,,,,,,,,
Pentax,smc Pentax-A 50mm f/1.2,Pentax KA,50.0,1.2,,,,,,,,,
Pentax,smc Pentax-A 50mm f/1.4,Pentax KA,50.0,1.4,,,,,,,,,
Pentax,smc Pentax-A 50mm f/1.7,Pentax KA,50.0,1.7,,,,,,,,,
Pentax,smc Pentax-A 50mm f/2,Pentax KA,50.0,2.0,,,,,,,,,
Pentax,smc Pentax-A 50mm f/2.8 Macro,Pentax KA,50.0,2.8,1984,1988,6,4,0.24,49,220,6,owned
Pentax,smc Pentax-A* 1200mm f/8 ED [IF],Pentax KA,1200.0,8.0,,,,,,,,,
Pentax,smc Pentax-A* 135mm f/1.8,Pentax KA,135.0,1.8,,,,,,,,,
Pentax,smc Pentax-A* 200mm f/2.8 ED,Pentax KA,200.0,2.8,,,,,,,,,
Pentax,smc Pentax-A* 200mm f/4 Macro ED,Pentax KA,200.0,4.0,,,,,,,,,
Pentax,smc Pentax-A* 300mm f/2.8 ED [IF],Pentax KA,300.0,2.8,,,,,,,,,
Pentax,smc Pentax-A* 300mm f/4,Pentax KA,300.0,4.0,,,,,,,,,
Pentax,smc Pentax-A* 400mm f/2.8 ED [IF],Pentax KA,400.0,2.8,,,,,,,,,
Pentax,smc Pentax-A* 600mm f/5.6 ED [IF],Pentax KA,600.0,5.6,,,,,,,,,
